Title,Audience Score,Critic Score,Box Office,Rating,Genre,Main Star,Director,Release Date,Runtime,Year,Quarter
Tenet,73.0,69.0,58504105.0,PG-13,Action,John David Washington,Christopher Nolan,2020-09-03,150,2020,3
Wonder Woman 1984,54.0,72.0,46801036.0,PG-13,Action,Gal Gadot,Patty Jenkins,2020-12-25,151,2020,4
Birds of Prey,60.0,71.0,84172791.0,R,Action,Margot Robbie,Cathy Yan,2020-02-07,109,2020,1
A Quiet Place Part II,72.0,68.0,160072261.0,PG-13,Drama,Emily Blunt,John Krasinski,2021-05-28,97,2021,2
Extraction,67.0,73.0,,R,Action,Chris Hemsworth,Sam Hargrave,2020-04-24,116,2020,2
The Trial of the Chicago 7,77.0,70.0,,R,Drama,Eddie Redmayne,Aaron Sorkin,2020-10-16,129,2020,4
Enola Holmes,66.0,93.0,,PG-13,Action,Millie Bobby Brown,Harry Bradbeer,2020-09-23,123,2020,3
Dune,80.0,74.0,108327830.0,PG-13,Action,Timothée Chalamet,Denis Villeneuve,2021-10-22,155,2021,4
Don't Look Up,72.0,68.0,,R,Comedy,Leonardo DiCaprio,Adam McKay,2021-12-24,138,2021,4
Zack Snyder's Justice League,80.0,71.0,,R,Action,Henry Cavill,Zack Snyder,2021-03-18,242,2021,1
No Time to Die,73.0,67.0,160891007.0,PG-13,Action,Daniel Craig,Cary Joji Fukunaga,2021-10-08,163,2021,4
Shang-Chi and the Legend of the Ten Rings,74.0,62.0,224543292.0,PG-13,Action,Simu Liu,Destin Daniel Cretton,2021-09-03,132,2021,3
Black Widow,67.0,72.0,183651655.0,PG-13,Action,Scarlett Johansson,Cate Shortland,2021-07-09,134,2021,3
Free Guy,71.0,63.0,121626598.0,PG-13,Action,Ryan Reynolds,Shawn Levy,2021-08-13,115,2021,3
The Suicide Squad,72.0,64.0,55817425.0,R,Action,Margot Robbie,James Gunn,2021-08-05,132,2021,3
Eternals,63.0,75.0,164870234.0,PG-13,Action,Gemma Chan,Chloé Zhao,2021-11-05,156,2021,4
Looper,82.0,93.0,66300000.0,R ,Sci-fi,                    Bruce Willis,Rian Johnson,2012-09-28,119,2012,3
Moonrise Kingdom,86.0,93.0,45500000.0,PG-13,Comedy,                    Bruce Willis,Wes Anderson,2012-06-29,94,2012,2
The Cabin in the Woods,74.0,92.0,42000000.0,R ,Horror,                    Kristen Connolly,Drew Goddard,2012-04-13,95,2012,2
Jiro Dreams of Sushi,91.0,99.0,2600000.0,PG ,Documentary,                    Jiro Ono,David Gelb,2012-03-09,81,2012,1
Amour,82.0,92.0,3700000.0,PG-13,Drama,                    Jean-Louis Trintignant,Michael Haneke,2012-12-19,127,2012,4
Before Midnight,82.0,98.0,8100000.0,R ,Romance,                    Ethan Hawke,Richard Linklater,2013-05-24,109,2013,2
Her,82.0,94.0,25600000.0,R ,Comedy,                    Joaquin Phoenix,Spike Jonze,2014-01-10,119,2014,1
Short Term 12,92.0,98.0,1000000.0,R ,Drama,                    Brie Larson,Destin Daniel Cretton,2013-08-23,96,2013,3
Captain Phillips,89.0,93.0,107100000.0,PG-13,Drama,                    Tom Hanks,Paul Greengrass,2013-10-11,133,2013,4
Mud,80.0,97.0,21600000.0,PG-13,Drama,                    Matthew McConaughey,Jeff Nichols,2013-05-10,130,2013,2
American Hustle,74.0,92.0,150100000.0,R ,Crime,                    Christian Bale,David O. Russell,2013-12-20,138,2013,4
20 Feet From Stardom,82.0,99.0,4900000.0,PG-13,Documentary,                    David Bowie,Morgan Neville,2013-06-14,90,2013,2
Inside Llewyn Davis,74.0,92.0,13200000.0,R ,Drama,                    Oscar Isaac,Joel Coen,2013-12-20,104,2013,4
Selma,86.0,99.0,52100000.0,PG-13,History,                    David Oyelowo,Ava DuVernay,2015-01-09,128,2015,1
Boyhood,80.0,97.0,25400000.0,R ,Drama,                    Ellar Coltrane,Richard Linklater,2014-07-18,165,2014,3
The Babadook,72.0,98.0,933100000.0,PG ,Horror,                    Essie Davis,Jennifer Kent,2014-11-28,93,2014,4
The LEGO Movie,87.0,96.0,257800000.0,R ,Kids & family,                    Chris Pratt,Phil Lord,2014-02-07,95,2014,1
Nightcrawler,86.0,95.0,32400000.0,R ,Mystery,                    Jake Gyllenhaal,Dan Gilroy,2014-10-31,117,2014,4
Life Itself,88.0,98.0,809700000.0,PG-13,Documentary,                    Roger Ebert,Steve James,2014-07-04,120,2014,3
Birdman,78.0,91.0,42300000.0,R ,Comedy,                    Michael Keaton,Alejandro González Iñárritu,2015-01-16,119,2015,1
Brooklyn,87.0,97.0,38300000.0,PG-13,Romance,                    Saoirse Ronan,John Crowley,2015-11-25,112,2015,4
Creed,89.0,95.0,109700000.0,PG-13,Drama,                    Michael B. Jordan,Ryan Coogler,2015-11-25,133,2015,4
Mission: Impossible Rogue Nation,87.0,94.0,,R ,Action,                    Tom Cruise,Christopher McQuarrie,2015-07-31,131,2015,3
It Follows,66.0,96.0,14700000.0,R ,Horror,                    Maika Monroe,David Robert Mitchell,2015-03-27,101,2015,1
Carol,74.0,94.0,12700000.0,PG-13,Romance,                    Cate Blanchett,Todd Haynes,2016-01-08,118,2016,1
Moonlight,79.0,98.0,27900000.0,PG-13,Drama,                    Mahershala Ali,Barry Jenkins,2016-11-18,111,2016,4
Manchester by the Sea,78.0,96.0,47700000.0,PG-13,Drama,                    Casey Affleck,Kenneth Lonergan,2016-12-16,137,2016,4
Hell or High Water,88.0,97.0,27000000.0,PG ,Crime,                    Jeff Bridges,David Mackenzie,2016-08-19,97,2016,3
Finding Dory,84.0,94.0,486200000.0,PG-13,Kids & family,                    Ellen DeGeneres,Andrew Stanton,2016-06-17,103,2016,2
The Jungle Book,86.0,94.0,364000000.0,R ,Kids & family,                    Neel Sethi,Jon Favreau,2016-04-15,105,2016,2
Paterson,72.0,96.0,2100000.0,R ,Comedy,                    Adam Driver,Jim Jarmusch,2016-12-28,118,2016,4
Lady Bird,79.0,99.0,48900000.0,R ,Comedy,                    Saoirse Ronan,Greta Gerwig,2017-11-22,94,2017,4
Coco,94.0,97.0,210500000.0,PG-13,Kids & family,                    Anthony Gonzalez,Lee Unkrich,2017-11-22,109,2017,4
Star Wars: The Last Jedi,42.0,91.0,620200000.0,R ,Sci-fi,                    Mark Hamill,Rian Johnson,2017-12-15,152,2017,4
The Shape of Water,72.0,92.0,63300000.0,PG-13,Fantasy,                    Sally Hawkins,Guillermo del Toro,2017-12-22,123,2017,4
The Big Sick,88.0,98.0,42900000.0,PG-13,Romance,                    Kumail Nanjiani,Michael Showalter,2017-07-14,120,2017,3
Mission: Impossible - Fallout,88.0,97.0,220100000.0,R ,Action,                    Tom Cruise,Christopher McQuarrie,2018-07-27,147,2018,3
BlacKkKlansman,83.0,96.0,48600000.0,PG ,Comedy,                    John David Washington,Spike Lee,2018-08-10,134,2018,3
Roma,72.0,96.0,,R ,Drama,                    Yalitza Aparicio,Alfonso Cuarón,2018-11-21,135,2018,4
A Star Is Born,79.0,90.0,215300000.0,PG-13,Romance,                    Bradley Cooper,Bradley Cooper,2018-10-05,135,2018,4
Eighth Grade,82.0,99.0,13500000.0,R ,Comedy,                    Elsie Fisher,Bo Burnham,2018-08-03,93,2018,3
Can You Ever Forgive Me?,81.0,98.0,8800000.0,R ,Biography,                    Melissa McCarthy,Marielle Heller,2018-10-19,106,2018,4
The Favourite,70.0,93.0,34200000.0,R ,Comedy,                    Olivia Colman,Yorgos Lanthimos,2018-12-14,120,2018,4
Parasite (Gisaengchung),90.0,99.0,53400000.0,PG-13,Comedy,                    Song Kang-ho,Bong Joon Ho,2019-11-01,132,2019,4
